ID,Type,Blast,Play,Sleep,Consume,Negativist,Process,Static,Vortical,Holographic,Causal,Dialectic,Dominant,Creative,Harmonizing,Normalizing
ESFJc_75_frame110,ESFJc,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
ESTP_20_frame350,ESTP_,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0
ESTJc_24_frame260,ESTJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
ENFJc_54_frame160,ENFJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
ENTJ_141_frame120,ENTJ_,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
ENFJc_53_frame410,ENFJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
INFJc_151_frame310,INFJc,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
INTP_13_frame280,INTP_,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1
ISTJc_150_frame500,ISTJc,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ISTPc_68_frame160,ISTPc,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0
ENFJ_170_frame460,ENFJ_,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
ISFJc_120_frame200,ISFJc,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0
ESTP_15_frame560,ESTP_,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0
INFJ_5_frame510,INFJ_,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
ESTPc_110_frame250,ESTPc,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0
ESTJ_57_frame380,ESTJ_,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
ISFPc_56_frame460,ISFPc,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0
ISTP_167_frame190,ISTP_,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1
ENFJ_93_frame110,ENFJ_,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
ENTJc_83_frame290,ENTJc,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
ENTP_157_frame400,ENTP_,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0
ENTJ_142_frame470,ENTJ_,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
ESFJc_71_frame130,ESFJc,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
INFJc_153_frame60,INFJc,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ENFJc_43_frame350,ENFJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
INFP_3_frame290,INFP_,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1
ENFJ_98_frame170,ENFJ_,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
ESTJc_37_frame500,ESTJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
INTJc_126_frame410,INTJc,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0
ENTJ_141_frame450,ENTJ_,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
ENTJ_137_frame490,ENTJ_,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
ENFJ_88_frame340,ENFJ_,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
ENFP_86_frame310,ENFP_,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0
ESTPc_118_frame210,ESTPc,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0
ENFJc_40_frame370,ENFJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
ESFJ_70_frame50,ESFJ_,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
INFJc_156_frame310,INFJc,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ISTJc_148_frame200,ISTJc,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ESTPc_113_frame270,ESTPc,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0
ENFPc_104_frame290,ENFPc,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0
ESTP_17_frame40,ESTP_,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0
ISTJc_143_frame260,ISTJc,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ESFP_85_frame340,ESFP_,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0
INFJc_154_frame280,INFJc,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ENFJ_170_frame110,ENFJ_,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
ESFJc_78_frame0,ESFJc,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
ENFJ_97_frame440,ENFJ_,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
ENTJ_135_frame500,ENTJ_,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
ISTJc_147_frame240,ISTJc,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ISFJ_171_frame290,ISFJ_,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1
ESTPc_117_frame250,ESTPc,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0
ESTJ_59_frame270,ESTJ_,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
ESFJ_70_frame330,ESFJ_,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
INFJ_6_frame530,INFJ_,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
ENTJc_79_frame300,ENTJc,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
INTJc_128_frame70,INTJc,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0
ISTP_165_frame570,ISTP_,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1
ENFPc_99_frame480,ENFPc,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0
ENFJc_44_frame350,ENFJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
ENTJ_139_frame170,ENTJ_,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
INFJ_7_frame90,INFJ_,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
ESTJc_30_frame110,ESTJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
INFJc_156_frame270,INFJc,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ENFJc_40_frame210,ENFJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
ISTP_166_frame140,ISTP_,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1
INTJc_131_frame60,INTJc,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0
ENFP_86_frame270,ENFP_,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0
ENTPc_162_frame200,ENTPc,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0
ENFJ_88_frame220,ENFJ_,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
ISTPc_68_frame50,ISTPc,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0
ESTJc_37_frame460,ESTJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
ESTJc_23_frame300,ESTJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
ENFJ_97_frame520,ENFJ_,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
ENTJ_135_frame460,ENTJ_,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
ENFJc_51_frame190,ENFJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
ISFJc_119_frame530,ISFJc,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0
ENFJc_42_frame380,ENFJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
ENTJ_132_frame110,ENTJ_,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
ESFP_85_frame220,ESFP_,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0
ISTJc_143_frame300,ISTJc,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
INFJ_5_frame100,INFJ_,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
ESTPc_113_frame310,ESTPc,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0
INTJc_129_frame530,INTJc,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0
ENFPc_99_frame50,ENFPc,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0
INFJ_6_frame450,INFJ_,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
ENFJ_87_frame260,ENFJ_,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
ISTP_167_frame580,ISTP_,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1
ISFJc_123_frame20,ISFJc,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0
ENFJc_39_frame290,ENFJc,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
